FinishTime,ArrivalTime,ServiceTime,ID
2.37591,0.153686,0.740741,945984
6.49474,4.27252,0.740741,945985
11.8027,9.58043,0.740741,945986
28.2049,25.9827,0.740741,945987
29.4765,27.2543,0.740741,945988
30.2725,28.0502,0.740741,945989
31.5959,29.3737,0.740741,945990
32.5623,30.3401,0.740741,945991
38.954,36.7317,0.740741,945992
41.8577,39.6354,0.740741,945993
48.3246,41.6579,2.22222,945994
57.0826,54.8604,0.740741,945996
60.3122,53.6455,2.22222,945995
63.8876,61.6654,0.740741,945997
74.3405,67.6739,2.22222,945998
77.6554,75.4332,0.740741,945999
81.2499,79.0277,0.740741,946000
82.9018,80.6796,0.740741,946001
86.3916,84.1694,0.740741,946002
89.4454,87.2232,0.740741,946003
90.4114,88.1892,0.740741,946004
92.9764,90.7542,0.740741,946005
95.2368,93.0146,0.740741,946007
96.6443,92.1998,1.48148,946006
107.056,104.834,0.740741,946008
109.052,106.83,0.740741,946009
109.748,107.526,0.740741,946010
112.524,110.301,0.740741,946011
116.229,114.007,0.740741,946012
117.141,114.919,0.740741,946013
120.381,118.159,0.740741,946014
121.309,119.087,0.740741,946015
122.291,120.069,0.740741,946016
125.249,123.027,0.740741,946017
128.233,126.011,0.740741,946019
130.594,128.371,0.740741,946020
132.154,125.487,2.22222,946018
134.376,131.88,0.740741,946023
135.09,128.424,2.22222,946021
136.12,133.898,0.740741,946024
137.313,135.033,0.740741,946025
137.739,129.97,2.22222,946022
138.342,136.041,0.740741,946026
141.28,139.058,0.740741,946027
143.69,141.468,0.740741,946028
144.18,141.958,0.740741,946029
146.552,144.33,0.740741,946030
151.14,148.918,0.740741,946031
151.252,149.029,0.740741,946032
154.458,152.236,0.740741,946033
168.212,163.767,1.48148,946034
171.639,169.417,0.740741,946035
174.348,172.126,0.740741,946037
174.375,172.153,0.740741,946038
176.018,173.56,0.740741,946039
178.139,175.917,0.740741,946040
178.793,171.574,2.22222,946036
181.899,179.677,0.740741,946041
186.086,183.863,0.740741,946042
188.927,184.482,1.48148,946043
189.867,187.644,0.740741,946044
196.029,193.806,0.740741,946045
196.675,194.453,0.740741,946046
198.497,196.275,0.740741,946047
199.539,197.317,0.740741,946048
200.446,198.224,0.740741,946049
202.668,199.597,0.740741,946052
204.912,202.69,0.740741,946055
205.281,203.059,0.740741,946056
208.347,198.303,2.22222,946050
209.726,199.384,2.22222,946051
211.521,200.141,2.22222,946053
212.638,204.854,1.48148,946057
212.791,202.177,2.22222,946054
213.053,210.831,0.740741,946058
215.248,213.026,0.740741,946059
222.834,216.167,2.22222,946060
229.521,227.299,0.740741,946061
231.911,229.688,0.740741,946062
237.144,234.921,0.740741,946064
240.879,234.212,2.22222,946063
241.655,239.433,0.740741,946065
245.363,243.141,0.740741,946066
249.405,247.183,0.740741,946068
249.89,243.223,2.22222,946067
251.627,247.739,0.740741,946070
251.893,248.145,0.740741,946071
254.334,247.449,2.22222,946069
260.015,257.793,0.740741,946072
264.27,262.048,0.740741,946074
265.932,263.71,0.740741,946075
267.209,260.542,2.22222,946073
268.704,266.482,0.740741,946076
269.732,267.51,0.740741,946077
270.148,267.926,0.740741,946078
271.092,268.87,0.740741,946079
273.813,271.591,0.740741,946080
278.267,276.044,0.740741,946081
279.012,276.79,0.740741,946082
279.895,277.672,0.740741,946083
280.954,278.732,0.740741,946084
283.396,281.174,0.740741,946085
288.435,286.212,0.740741,946087
288.694,282.028,2.22222,946086
290.569,288.347,0.740741,946088
291.275,289.053,0.740741,946089
294.036,291.814,0.740741,946090
297.356,295.134,0.740741,946091
298.945,296.722,0.740741,946092
303.808,301.586,0.740741,946093
305.685,303.463,0.740741,946094
306.986,304.763,0.740741,946095
308.734,306.512,0.740741,946096
313.974,311.752,0.740741,946097
317.33,315.108,0.740741,946099
317.905,315.682,0.740741,946100
320.901,314.234,2.22222,946098
326.054,323.832,0.740741,946102
326.123,319.456,2.22222,946101
331.499,329.276,0.740741,946103
332.901,330.679,0.740741,946104
334.007,331.784,0.740741,946105
335.964,333.742,0.740741,946106
342.487,340.265,0.740741,946107
346.972,344.75,0.740741,946109
348.594,341.927,2.22222,946108
349.844,347.621,0.740741,946110
354.58,352.358,0.740741,946111
357.4,355.178,0.740741,946112
359.691,357.469,0.740741,946113
361.512,359.289,0.740741,946115
365.39,358.724,2.22222,946114
365.86,363.638,0.740741,946117
366.358,359.323,2.22222,946116
368.205,365.982,0.740741,946119
371.727,367.283,1.48148,946120
372.094,365.427,2.22222,946118
373.465,371.243,0.740741,946121
382.875,380.653,0.740741,946122
383.736,381.514,0.740741,946123
386.408,384.186,0.740741,946124
388.464,386.242,0.740741,946125
397.05,394.827,0.740741,946126
399.227,397.004,0.740741,946127
