FinishTime,ArrivalTime,ServiceTime
660.95,654.479,0
661.95,654.479,0
662.951,655.679,0
665.673,656.978,0
668.265,663.902,0
669.265,663.902,0
670.735,664.673,0
671.735,664.673,0
672.735,664.673,0
673.735,664.673,0
674.735,664.673,0
677.991,675.011,0
680.692,678.316,0
681.692,678.316,0
683.186,678.766,0
685.39,681.798,0
690.581,687.435,0
691.581,687.435,0
692.581,687.435,0
693.642,688.313,0
694.642,688.313,0
695.642,688.313,0
697.035,688.946,0
698.134,689.581,0
699.134,689.581,0
700.134,689.581,0
701.134,689.581,0
702.134,689.581,0
703.134,689.581,0
704.318,692.642,0
705.922,696.035,0
707.183,704.83,0
708.183,704.83,0
709.848,706.01,0
710.969,706.074,0
715.265,712.707,0
716.265,712.707,0
717.359,713.807,0
719.738,716.309,0
720.738,716.309,0
724.819,722.462,0
725.819,722.462,0
726.819,722.462,0
727.819,722.462,0
729.426,722.646,0
731.67,728.426,0
735.116,732.171,0
736.116,732.171,0
737.116,732.171,0
738.116,732.171,0
739.472,733.178,0
741.143,738.472,0
742.143,738.472,0
743.606,739.781,0
744.606,739.781,0
746.828,740.143,0
749.093,742.606,0
750.675,745.457,0
751.777,745.828,0
754.932,749.675,0
757.567,755.186,0
758.652,755.241,0
759.652,755.286,0
761.943,757.652,0
762.943,757.652,0
763.943,757.652,0
767.678,764.727,0
769.008,765.485,0
770.922,765.791,0
772.873,769.272,0
774.513,769.922,0
775.513,769.922,0
779.576,776.897,0
781.391,778.24,0
783.556,779.892,0
784.556,779.892,0
786.553,780.391,0
790.197,787.296,0
791.197,787.296,0
792.197,787.296,0
793.197,787.296,0
794.348,788.025,0
795.457,788.216,0
797.2,789.197,0
798.2,789.197,0
799.933,796.2,0
800.933,796.2,0
803.289,798.776,0
807.67,805.478,0
810.012,806.435,0
811.012,806.435,0
812.012,806.435,0
813.012,806.435,0
814.52,807.819,0
815.52,807.819,0
819.404,816.334,0
820.404,816.334,0
821.879,817.271,0
822.879,817.271,0
824.907,818.208,0
827.709,823.907,0
832.12,828.891,0
833.537,829.886,0
836.568,831.12,0
839.933,835.568,0
843.832,840.836,0
844.832,840.836,0
847.228,841.583,0
848.228,841.583,0
850.192,842.832,0
851.192,842.832,0
852.813,845.526,0
856.95,855.019,0
858.737,855.612,0
860.116,855.722,0
864.085,861.372,0
865.269,862.018,0
866.269,862.018,0
867.269,862.018,0
870.711,864.269,0
872.702,867.897,0
874.92,869.711,0
876.539,871.702,0
877.539,871.702,0
878.539,871.702,0
879.539,871.702,0
881.521,873.802,0
883.001,873.92,0
885.237,879.596,0
886.857,882.001,0
887.857,882.001,0
888.857,882.001,0
889.857,882.001,0
890.881,883.496,0
893.142,885.857,0
896.004,892.142,0
897.004,892.142,0
899.024,894.243,0
900.34,895.004,0
901.415,897.383,0
902.89,898.024,0
903.89,898.024,0
905.252,899.059,0
907.212,900.415,0
908.737,901.89,0
910.547,906.212,0
911.547,906.212,0
912.547,906.212,0
913.547,906.212,0
914.547,906.212,0
915.547,906.212,0
916.547,906.212,0
917.547,906.212,0
918.928,907.737,0
920.841,909.244,0
922.153,909.547,0
923.989,918.95,0
925.437,922.687,0
926.999,922.989,0
927.999,922.989,0
928.999,922.989,0
931.397,924.395,0
932.397,924.395,0
933.397,924.395,0
934.397,924.395,0
938.319,935.185,0
939.319,935.185,0
940.319,935.185,0
942.057,936.305,0
943.157,936.65,0
945.244,941.032,0
